Product#,Sub-Kit PN,CAS#,ComponentName,"WeightConversion",% (w/w),"毒化物
Toxic",關注化學物質 Concerned Chemical Substances,優先化學品Priority substance,管制性化學品Controlled,先驅化學品Precurosr,新化學物質New Chemical,空汙申請ODS,既有化學物質Existing Chemical ,備註,備註2,,,,,,,,,,,,,
DWM-583-1,,106-42-3,"1,4- Dimethylbenzene",0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,79-00-5,"1,1,2-trichloroethane",0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,91-20-3,naphthalene,0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 年用量無超過,萘,,,,,,,,,,,,,,
DWM-583-1,,127-18-4,perchloroethylene,0.0253,% (w/w),"N 1,2類，限值10%",N,N 1目，限值1%,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,103-65-1,n-Propylbenzene,0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,71-43-2,benzene,0.0253,% (w/w),"N 1,2類，限值70%",N,N 1目，限值1%,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,108-88-3,toluene,0.0253,% (w/w),N,N,N 2目少量,N,N 乙類，限值100%,N,N,N 年用量無超過,,,,,,,,,,,,,,,
DWM-583-1,,100-41-4,ethylbenzene,0.0253,% (w/w),N 4類，限值70%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,98-82-8,isopropylbenzene,0.0253,% (w/w),N 4類，限值1%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,108-67-8,"1,3,5-trimethylbenzene",0.0253,% (w/w),N,N,N,N,N,N,N,N 年用量無超過,,,,,,,,,,,,,,,
DWM-583-1,,100-42-5,Vinylbenzene,0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 年用量無超過,,,,,,,,,,,,,,,
DWM-583-1,,95-63-6,"1,2,4-trimethylbenzene",0.0253,% (w/w),N,N,N,N,N,N,N,N 年用量無超過,,,,,,,,,,,,,,,
DWM-583-1,,75-09-2,METHYLENE DICHLORIDE,0.0253,% (w/w),N 4類，限值25%,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,56-23-5,carbon tetrachloride,0.0253,% (w/w),N 1類，限值50%,N,N 2目少量,N,N,N,Y,N 少量,四氯化碳,空汙申請,,,,,,,,,,,,,
